wikidata_id,name,category,image_url,country,wikipedia_url,sitelinks,latitude,longitude
Q214861,Hartsfield–Jackson Atlanta International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Atlanta%20Hartsfield-Jackson.jpg,United States,https://en.wikipedia.org/wiki/Hartsfield%E2%80%93Jackson_Atlanta_International_Airport,136,33.636666666,-84.428055555
Q8731,Los Angeles International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/LAX2.jpg,United States,https://en.wikipedia.org/wiki/Los_Angeles_International_Airport,136,33.9425,-118.408056
Q213717,O'Hare International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/O%27Hare%20International%20Airport%20%28USGS%29.png,United States,https://en.wikipedia.org/wiki/O%27Hare_International_Airport,134,41.978611111,-87.904722222
Q319654,LaGuardia Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/LaGuardia%20Airport.JPG,United States,https://en.wikipedia.org/wiki/LaGuardia_Airport,116,40.775,-73.875
Q8688,San Francisco International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Aerial%20view%20of%20San%20Francisco%20International%20Airport%202010.jpg,United States,https://en.wikipedia.org/wiki/San_Francisco_International_Airport,116,37.618888888,-122.375
Q188698,Kīlauea,volcanoes,http://commons.wikimedia.org/wiki/Special:FilePath/Kilauea%20-%20Landsat%20mosaic.jpg,United States,https://en.wikipedia.org/wiki/K%C4%ABlauea,128,19.421097,-155.286762
Q859354,Lassen Peak,volcanoes,http://commons.wikimedia.org/wiki/Special:FilePath/Lassen%20Peak%20in%20June%202020.jpg,United States,https://en.wikipedia.org/wiki/Lassen_Peak,99,40.488055555,-121.505
Q131230,Mauna Kea,volcanoes,http://commons.wikimedia.org/wiki/Special:FilePath/Mauna%20Kea10.jpg,United States,https://en.wikipedia.org/wiki/Mauna_Kea,87,19.820555555,-155.468055555
Q4675,Q4675,volcanoes,http://commons.wikimedia.org/wiki/Special:FilePath/State%20Route%20504%20eastbound%20approaching%20Mount%20St.%20Helens%20near%20Castle%20Lake.jpg,United States,https://en.wikipedia.org/wiki/Mount_St._Helens,82,46.200277777,-122.189444444
Q159762,Mauna Loa,volcanoes,http://commons.wikimedia.org/wiki/Special:FilePath/Mauna%20Loa.jpg,United States,https://en.wikipedia.org/wiki/Mauna_Loa,77,19.483333333,-155.6
Q118388,Death Valley,deserts,http://commons.wikimedia.org/wiki/Special:FilePath/Badwater%20Desolation.jpg,United States,https://en.wikipedia.org/wiki/Death_Valley,79,36.456938888,-116.865280555
Q184355,Mojave Desert,deserts,http://commons.wikimedia.org/wiki/Special:FilePath/Calico%20basin%20red%20rock%20cumulus%20mediocris.jpg,United States,https://en.wikipedia.org/wiki/Mojave_Desert,70,35.008333333,-115.475
Q189429,Sonoran Desert,deserts,http://commons.wikimedia.org/wiki/Special:FilePath/AguaFriaNM%20%28cropped%29.jpeg,United States,https://en.wikipedia.org/wiki/Sonoran_Desert,67,32.26,-112.926111111
Q855658,Chihuahuan Desert,deserts,http://commons.wikimedia.org/wiki/Special:FilePath/Chihuahuan%20Desert.jpg,United States,https://en.wikipedia.org/wiki/Chihuahuan_Desert,47,30.540555555,-103.837222222
Q273446,Great Basin Desert,deserts,http://commons.wikimedia.org/wiki/Special:FilePath/Great%20Basin%20Desert%203%20by%20Earth%27s%20beauty%20site.jpg,United States,https://en.wikipedia.org/wiki/Great_Basin_Desert,38,39.0058,-114.2197
Q34221,Niagara Falls,waterfalls,http://commons.wikimedia.org/wiki/Special:FilePath/Niagara%20Falls%20USA%20Canada%20from%20Skylon%20Tower%20on%202002-05-28%2C%20full%20size.jpg,United States,https://en.wikipedia.org/wiki/Niagara_Falls,268,43.08,-79.071
Q491677,Yosemite Falls,waterfalls,http://commons.wikimedia.org/wiki/Special:FilePath/Yosemite%20falls%20winter%202010.JPG,United States,https://en.wikipedia.org/wiki/Yosemite_Falls,40,37.755018,-119.597297
Q37319,Multnomah Falls,waterfalls,http://commons.wikimedia.org/wiki/Special:FilePath/Multnomah%20Falls%20on%202%20August%202012.jpg,United States,https://en.wikipedia.org/wiki/Multnomah_Falls,24,45.57595,-122.115361111
Q37385,Horsetail Fall,waterfalls,http://commons.wikimedia.org/wiki/Special:FilePath/2007-02-16%20-%20Horsetail%20Fall%20%28Yosemite%29.jpg,United States,https://en.wikipedia.org/wiki/Horsetail_Fall_(Yosemite),22,37.7291,-119.628
Q38305,Oloʻupena Falls,waterfalls,http://commons.wikimedia.org/wiki/Special:FilePath/Molokai%20Waterfall.jpg,United States,https://en.wikipedia.org/wiki/Olo%CA%BBupena_Falls,19,21.164722222,-156.859444444
Q1373778,Horseshoe Falls,waterfalls,http://commons.wikimedia.org/wiki/Special:FilePath/Niagara%20Falls%206%20db.jpg,United States,https://en.wikipedia.org/wiki/Horseshoe_Falls,18,43.077305,-79.07562
Q38402,Dry Falls,waterfalls,http://commons.wikimedia.org/wiki/Special:FilePath/Dry%20Falls.jpg,United States,https://en.wikipedia.org/wiki/Dry_Falls,18,47.605725,-119.353644
Q37957,Alamere Falls,waterfalls,http://commons.wikimedia.org/wiki/Special:FilePath/AlamereFalls.JPG,United States,https://en.wikipedia.org/wiki/Alamere_Falls,18,37.953611111,-122.783333333
Q1752963,Saint Anthony Falls,waterfalls,http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Anthony%20Falls%20aerial.jpg,United States,https://en.wikipedia.org/wiki/Saint_Anthony_Falls,17,44.981666666,-93.258611111
Q38586,Nevada Fall,waterfalls,http://commons.wikimedia.org/wiki/Special:FilePath/Vernall%20Nevada%20Falls.JPG,United States,https://en.wikipedia.org/wiki/Nevada_Fall,17,37.725277777,-119.532777777
Q617835,Malaspina Glacier,glaciers,http://commons.wikimedia.org/wiki/Special:FilePath/Malaspina%20Glacier%20from%20space.jpg,United States,https://en.wikipedia.org/wiki/Malaspina_Glacier,32,59.9192,-140.533
Q610535,Nabesna Glacier,glaciers,http://commons.wikimedia.org/wiki/Special:FilePath/MtBlackburn-AtnaPeaks-ParkaPeak.jpg,United States,https://en.wikipedia.org/wiki/Nabesna_Glacier,26,61.933333333,-143.090555555
Q833807,Columbia Glacier,glaciers,http://commons.wikimedia.org/wiki/Special:FilePath/Columbia%20Glacier%20%28Alaska%29%20by%20Sentinel-2.jpg,United States,https://en.wikipedia.org/wiki/Columbia_Glacier_(Alaska),20,61.2197,-146.895
Q1529680,Muir Glacier,glaciers,http://commons.wikimedia.org/wiki/Special:FilePath/Morse%20Muir%20Glaciers%201994.jpg,United States,https://en.wikipedia.org/wiki/Muir_Glacier,18,59.2059482,-136.4444768
Q1632936,Hubbard Glacier,glaciers,http://commons.wikimedia.org/wiki/Special:FilePath/Hubbard%20Glacier%20%285%29.jpg,United States,https://en.wikipedia.org/wiki/Hubbard_Glacier,17,60.313888888,-139.370833333
Q351,Yellowstone National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/Grand%20Prismatic%20Spring%202013.jpg,United States,https://en.wikipedia.org/wiki/Yellowstone_National_Park,230,44.6,-110.5
Q180402,Yosemite National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/Half%20Dome%20with%20Eastern%20Yosemite%20Valley%20%2850MP%29.jpg,United States,https://en.wikipedia.org/wiki/Yosemite_National_Park,174,37.7425,-119.5375
Q274131,Everglades National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/Sunset%20over%20the%20River%20of%20Grass%2C%20NPSphoto%2C%20G.Gardner%20%289255157507%29.jpg,United States,https://en.wikipedia.org/wiki/Everglades_National_Park,140,25.3125,-80.6875
Q220289,Grand Canyon National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/10%20Grand%20Canyon%20Navajo%20Point%20viewpoint%20terrace%2C%20Grand%20Canyon%20National%20Park%2C%20USA%20-%20American%20nature.jpg,United States,https://en.wikipedia.org/wiki/Grand_Canyon_National_Park,124,36.0553,-112.122
Q219562,Bryce Canyon National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/USA%2010654%20Bryce%20Canyon%20Luca%20Galuzzi%202007.jpg,United States,https://en.wikipedia.org/wiki/Bryce_Canyon_National_Park,120,37.64,-112.17
Q237128,Mesa Verde National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/Mesa%20Verde.jpg,United States,https://en.wikipedia.org/wiki/Mesa_Verde_National_Park,120,37.260375,-108.494444
Q373567,Glacier National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Mary%20Lake%20and%20Wildgoose%20Island.jpg,United States,https://en.wikipedia.org/wiki/Glacier_National_Park_(U.S.),114,48.755,-113.8
Q205325,Zion National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/Zion%20angels%20landing%20view.jpg,United States,https://en.wikipedia.org/wiki/Zion_National_Park,114,37.202619444,-112.98785
Q372093,Olympic National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/HurricaneRidge%207392t.jpg,United States,https://en.wikipedia.org/wiki/Olympic_National_Park,110,47.7,-123.75
